Resort,ResortRegion,StateOrProvince,Latitude,Longitude,SkiableAcres,VerticalDrop,AnnualSnowfall,SummitElevation,fullPassAccessLevel,terrain.beginner,terrain.intermediate,terrain.expert
Sun Valley,Rockies,Idaho,43.67085,-114.37038,2054,3400,220,9150,limited,36,42,22
Sunday River,Northeast,Maine,44.47342,-70.85906,870,2340,167,3140,limited,30,36,34
Taos,Rockies,New Mexico,36.59448,-105.44958,1294,3281,300,12481,limited,15,18,67
The Highlands,Midwest,Michigan,45.47084,-84.93764,435,552,140,1290,limited,36,31,33
The Remarkables,Australia / New Zealand,,-45.05407,168.81212,220,1171,144,6375,limited,30,40,30
The Summit at Snoqualmie,West Coast,Washington,47.42044,-121.42329,1994,1025,428,3865,limited,17,37,46
Thredbo,Australia / New Zealand,,-36.50356,148.30386,1186,2205,83,6683,limited,16,67,17
Tremblant,Northeast,Quebec,46.21351,-74.58488,630,2116,178,2871,full,20,35,45
Valle Nevado,South America,,-33.35385,-70.25112,2200,2657,324,12041,limited,10,36,54
Wild Mountain,Midwest,Minnesota,45.48885,-92.70534,100,300,40,1113,limited,29,29,42
Winter Park,Rockies,Colorado,39.88254,-105.75742,3081,3060,318,12060,full,8,37,55
Zermatt,Europe,,46.01481,7.74251,10000,7477,199,12792,limited,11,22,67
